15233 58891
0 1 0.037037
0 1 0.037037
0 184 0.166667
0 1 0.037037
0 1 0.037037
0 1 0.037037
0 15 0.014493
1 184 0.166667
1 1491 0.333333
1 1491 0.333333
1 99 0.009174
1 99 0.009174
1 99 0.009174
1 705 0.007812
1 85 0.027778
1 177 0.062500
1 27 0.009524
1 482 0.026316
1 27 0.009524
1 1765 0.025000
1 482 0.026316
1 2833 0.058824
1 2833 0.058824
1 2833 0.058824
1 635 0.031250
1 4158 0.033333
1 444 0.038462
1 635 0.031250
1 444 0.038462
1 234 0.030303
1 4 0.020408
1 444 0.038462
1 2833 0.058824
1 234 0.030303
1 274 0.011364
1 6009 0.050000
1 10394 0.333333
1 274 0.011364
1 274 0.011364
1 274 0.011364
1 11248 1.000000
1 3956 0.125000
1 10394 0.333333
1 10394 0.333333
1 382 0.014085
1 11891 0.100000
1 1038 0.041667
1 1727 0.250000
1 1038 0.041667
1 2807 0.017544
1 635 0.031250
1 1038 0.041667
2 3 0.052632
3 12 0.013889
3 12 0.013889
3 12 0.013889
3 12 0.013889
3 12 0.013889
3 12 0.013889
3 12 0.013889
3 12 0.013889
3 12 0.013889
3 12 0.013889
3 12 0.013889
3 100 0.006623
3 12 0.013889
3 6303 0.500000
3 4425 0.083333
4 5 0.037037
4 100 0.006623
4 100 0.006623
4 100 0.006623
4 100 0.006623
4 251 0.014925
4 6011 0.043478
4 100 0.006623
4 251 0.014925
4 6011 0.043478
4 251 0.014925
4 251 0.014925
4 6011 0.043478
4 6011 0.043478
4 100 0.006623
4 332 0.028571
4 100 0.006623
4 251 0.014925
4 251 0.014925
4 251 0.014925
4 251 0.014925
4 5661 0.038462
4 8766 0.142857
4 8767 0.071429
4 2596 0.026316
4 8766 0.142857
4 8767 0.071429
4 251 0.014925
4 100 0.006623
4 11376 0.500000
4 2071 0.025641
4 8766 0.142857
4 8767 0.071429
4 1869 0.014706
4 8767 0.071429
4 1869 0.014706
4 100 0.006623
4 332 0.028571
5 7203 0.090909
6 7 0.100000
8 9 0.010000
8 9 0.010000
8 9 0.010000
8 9 0.010000
8 9 0.010000
8 9 0.010000
8 9 0.010000
8 9 0.010000
8 4773 0.250000
8 9 0.010000
8 9 0.010000
8 634 0.011905
8 9 0.010000
8 9 0.010000
8 634 0.011905
8 9 0.010000
8 634 0.011905
8 9 0.010000
8 634 0.011905
8 9 0.010000
8 9 0.010000
8 634 0.011905
8 7647 0.250000
8 9 0.010000
8 9 0.010000
8 9 0.010000
8 9 0.010000
8 7114 0.033333
8 9 0.010000
8 9 0.010000
8 751 0.047619
8 10655 0.333333
8 634 0.011905
8 9 0.010000
8 9 0.010000
8 10655 0.333333
8 634 0.011905
8 9 0.010000
8 2634 0.029412
9 83 0.055556
9 634 0.011905
10 11 1.000000
10 12 0.013889
10 288 0.029412
10 3 0.052632
10 12 0.013889
10 3 0.052632
10 12 0.013889
10 159 0.017544
10 159 0.017544
10 12 0.013889
10 634 0.011905
10 9 0.010000
10 634 0.011905
10 9 0.010000
10 159 0.017544
10 634 0.011905
10 1525 0.040000
10 1525 0.040000
10 100 0.006623
10 1525 0.040000
10 100 0.006623
10 12 0.013889
10 12 0.013889
10 1525 0.040000
10 12 0.013889
10 1645 0.029412
10 1692 0.013889
10 634 0.011905
10 548 0.045455
10 548 0.045455
10 12 0.013889
10 548 0.045455
10 12 0.013889
10 548 0.045455
10 548 0.045455
10 3278 0.142857
10 10319 0.034483
10 11530 1.000000
10 1692 0.013889
10 3278 0.142857
10 1692 0.013889
10 10319 0.034483
10 10319 0.034483
10 1525 0.040000
10 10319 0.034483
10 1525 0.040000
10 1525 0.040000
10 12 0.013889
10 1525 0.040000
10 12 0.013889
11 12 0.013889
12 315 0.019608
12 8733 0.066667
13 14 0.055556
13 15 0.014493
14 15 0.014493
14 369 0.333333
14 642 0.100000
14 1555 0.250000
14 481 0.032258
14 794 0.066667
14 332 0.028571
14 15 0.014493
14 794 0.066667
14 88 0.013158
14 610 0.028571
14 259 0.142857
14 4290 0.062500
14 332 0.028571
14 2094 0.052632
14 100 0.006623
14 1765 0.025000
14 773 0.052632
14 4 0.020408
14 332 0.028571
14 635 0.031250
14 27 0.009524
14 129 0.043478
14 168 0.021277
14 3147 0.041667
14 129 0.043478
14 938 0.333333
14 4 0.020408
14 4 0.020408
14 299 0.047619
14 709 0.029412
14 239 0.043478
14 1379 0.032258
14 1 0.037037
14 234 0.030303
14 1194 0.166667
14 9714 0.250000
14 2526 0.037037
14 9963 0.066667
14 9714 0.250000
14 9963 0.066667
14 1692 0.013889
14 9714 0.250000
14 9963 0.066667
14 1655 0.025000
14 5801 0.333333
14 15 0.014493
14 354 0.012987
14 270 1.000000
14 271 0.066667
14 9568 0.040000
14 88 0.013158
14 363 0.012821
15 130 0.045455
15 222 0.029412
15 505 0.333333
15 505 0.333333
15 222 0.029412
15 222 0.029412
15 27 0.009524
15 332 0.028571
15 1263 0.047619
15 1655 0.025000
15 991 0.027027
15 1655 0.025000
15 991 0.027027
15 1655 0.025000
15 991 0.027027
15 136 0.034483
15 135 0.022727
15 991 0.027027
15 363 0.012821
15 1655 0.025000
15 991 0.027027
15 1655 0.025000
15 991 0.027027
15 9459 0.333333
15 27 0.009524
15 9877 0.058824
15 2807 0.017544
15 27 0.009524
15 363 0.012821
15 136 0.034483
15 363 0.012821
15 363 0.012821
15 9459 0.333333
15 3949 0.200000
15 88 0.013158
15 88 0.013158
15 88 0.013158
15 1379 0.032258
15 354 0.012987
15 88 0.013158
15 3949 0.200000
15 88 0.013158
16 17 0.142857
16 1163 0.500000
16 1164 0.083333
16 1163 0.500000
16 1164 0.083333
18 19 0.035714
18 20 0.030303
18 19 0.035714
18 20 0.030303
18 641 0.200000
18 80 0.015385
18 80 0.015385
18 1093 0.250000
18 1093 0.250000
19 20 0.030303
19 20 0.030303
19 20 0.030303
19 416 0.029412
19 20 0.030303
19 641 0.200000
19 20 0.030303
19 641 0.200000
19 20 0.030303
19 731 0.500000
19 274 0.011364
19 274 0.011364
19 274 0.011364
19 1405 0.055556
19 262 0.058824
19 274 0.011364
19 1954 0.055556
19 104 0.062500
19 262 0.058824
19 274 0.011364
19 274 0.011364
19 465 0.076923
19 274 0.011364
19 274 0.011364
19 274 0.011364
19 274 0.011364
19 627 0.038462
19 635 0.031250
19 7597 0.050000
19 274 0.011364
19 12112 0.250000
19 2645 0.071429
19 274 0.011364
19 627 0.038462
19 444 0.038462
19 274 0.011364
19 12112 0.250000
19 2645 0.071429
19 7597 0.050000
19 12112 0.250000
19 274 0.011364
20 416 0.029412
20 641 0.200000
20 641 0.200000
20 731 0.500000
20 7113 1.000000
20 10087 0.090909
20 10087 0.090909
20 10087 0.090909
20 10087 0.090909
20 10087 0.090909
21 22 0.055556
21 22 0.055556
21 455 0.500000
21 22 0.055556
21 22 0.055556
21 22 0.055556
21 1473 0.032258
21 22 0.055556
21 22 0.055556
21 22 0.055556
21 22 0.055556
21 1473 0.032258
21 25 0.142857
21 104 0.062500
21 1473 0.032258
21 1473 0.032258
21 1473 0.032258
21 1473 0.032258
21 5061 0.100000
21 5061 0.100000
21 1473 0.032258
21 5061 0.100000
21 1473 0.032258
21 5061 0.100000
21 1473 0.032258
21 5061 0.100000
21 1473 0.032258
21 5061 0.100000
21 5061 0.100000
21 5061 0.100000
21 626 0.014925
21 10197 0.066667
21 4701 0.047619
21 10197 0.066667
21 4701 0.047619
21 10197 0.066667
21 11972 0.100000
21 4701 0.047619
21 10197 0.066667
21 11972 0.100000
21 12362 0.166667
21 12362 0.166667
